index,category,sub_category,brand,sale_price,market_price
1,Beauty & Hygiene,Hair Care,Sri Sri Ayurveda ,220,220
2,"Kitchen, Garden & Pets",Storage & Accessories,Mastercook,180,180
3,Cleaning & Household,Pooja Needs,Trm,119,250
4,Cleaning & Household,Bins & Bathroom Ware,Nakoda,149,176
5,Beauty & Hygiene,Bath & Hand Wash,Nivea,162,162
6,Cleaning & Household,All Purpose Cleaners,Nature Protect,169,199
7,Beauty & Hygiene,Skin Care,Satinance,58,58
8,Beauty & Hygiene,Bath & Hand Wash,Bionova,250,250
9,Beauty & Hygiene,Hair Care,StBotanica,1098,1098
10,Cleaning & Household,"Mops, Brushes & Scrubs",Scotch brite,20,20
11,Gourmet & World Food,Cooking & Baking Needs,NUTRASHIL,261,290
12,Gourmet & World Food,Chocolates & Biscuits,Sapphire,600,600
13,Beauty & Hygiene,Skin Care,Oxy,110,110
14,Cleaning & Household,All Purpose Cleaners,Clorox,350,350
15,Cleaning & Household,Fresheners & Repellents,Herbal Strategi,200,200
16,Cleaning & Household,Bins & Bathroom Ware,Nakoda,49,59
17,Beauty & Hygiene,Skin Care,Aroma Treasures,324,360
18,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Graminway,180,180
19,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,120,120
20,Gourmet & World Food,Dairy & Cheese,Murginns,85.14,90
21,Beauty & Hygiene,Hair Care,Bronson Professional,525,700
22,Gourmet & World Food,"Pasta, Soup & Noodles",Koka,45,50
23,"Foodgrains, Oil & Masala",Dry Fruits,NaturoBell,120,120
24,Gourmet & World Food,Drinks & Beverages,Cambridge Tea Party,75,75
25,"Kitchen, Garden & Pets",Kitchen Accessories,IRICH,195,195
26,"Kitchen, Garden & Pets",Flask & Casserole,Cello,659,895
27,Snacks & Branded Foods,Breakfast Cereals,Fit & Flex,245,265
28,"Foodgrains, Oil & Masala",Dry Fruits,Safe Harvest,53.9,55
29,Snacks & Branded Foods,Frozen Veggies & Snacks,Switz,90,110
30,Beauty & Hygiene,Skin Care,Organic Harvest,169.15,199
31,Beverages,Fruit Juices & Drinks,Real,19,20
32,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Cadbury,102,120
33,Beauty & Hygiene,Fragrances & Deos,Old Spice,211.65,249
34,Beverages,Tea,Octavius,225,225
35,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,499,969
36,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,98,120
37,"Foodgrains, Oil & Masala",Masalas & Spices,Catch,46.75,55
38,Beauty & Hygiene,Fragrances & Deos,Engage,136.5,195
