Index,category,sub_category,brand,sale_price,market_price
1,"Kitchen, Garden & Pets",Crockery & Cutlery,Hi-Luxe,275,275
2,"Foodgrains, Oil & Masala",Masalas & Spices,Keya,95,190
3,"Foodgrains, Oil & Masala",Masalas & Spices,Keya,80,160
4,"Kitchen, Garden & Pets",Cookware & Non Stick,Nirlon,629,1450
5,Beauty & Hygiene,Oral Care,Aquawhite,120,120
6,Beauty & Hygiene,Hair Care,Dabur Vatika,228,380
7,Beauty & Hygiene,Bath & Hand Wash,BB Home,65,95
8,Beauty & Hygiene,Hair Care,Loreal Paris,527,620
9,Gourmet & World Food,Drinks & Beverages,Hintz,575,575
10,Beauty & Hygiene,Skin Care,INATUR ,945,1350
11,"Kitchen, Garden & Pets",Crockery & Cutlery,BB Home,149,229
12,Baby Care,Baby Bath & Hygiene,The Moms Co,699,699
13,Baby Care,Feeding & Nursing,Quick Dry,149,149
14,Gourmet & World Food,Dairy & Cheese,MOOZ,200,200
15,Gourmet & World Food,"Sauces, Spreads & Dips",Mackays,385,385
16,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Lovely Bake Studio,117,130
17,Cleaning & Household,"Disposables, Garbage Bag",Freshee,135,135
18,Cleaning & Household,Detergents & Dishwash,Ariel ,250,250
19,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Del Monte,80,80
20,Gourmet & World Food,Chocolates & Biscuits,GoodDiet,159,225
21,Gourmet & World Food,Drinks & Beverages,Sprig Tea,149,149
22,Beauty & Hygiene,Health & Medicine,PediaCare,96,120
23,Cleaning & Household,All Purpose Cleaners,Lizol,540,670
24,Gourmet & World Food,Tinned & Processed Food,Delishh,113,113
25,Snacks & Branded Foods,Ready To Cook & Eat,Mom's InstaCook,120,120
26,"Kitchen, Garden & Pets",Cookware & Non Stick,Trm,249,445
27,Beauty & Hygiene,Skin Care,BodyHerbals,345,345
28,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Eat Real,60,60
29,Gourmet & World Food,Chocolates & Biscuits,Sugarless Bliss,100,100
30,"Foodgrains, Oil & Masala",Dry Fruits,Nutraj,224,299
31,"Foodgrains, Oil & Masala",Dals & Pulses,Himalayan Natives,102,120
32,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",NUTRIWISH,600,600
33,Cleaning & Household,Pooja Needs,DP,349,539
34,Beauty & Hygiene,Men's Grooming,Axe,58.5,65
35,Beauty & Hygiene,Bath & Hand Wash,Himalaya,119.68,160
36,Baby Care,Feeding & Nursing,Pigeon Baby,579,579
37,Fruits & Vegetables,Exotic Fruits & Veggies,Fresho,12,15
38,"Foodgrains, Oil & Masala",Rice & Rice Products,bb Royal,699,900
39,Snacks & Branded Foods,Ready To Cook & Eat,Slurrp Farm,299,299
40,Beauty & Hygiene,Bath & Hand Wash,Skin Cottage ,449,449
41,Snacks & Branded Foods,Chocolates & Candies,Cadbury,322,350
42,Beauty & Hygiene,Men's Grooming,Set Wet,268.2,447
43,Gourmet & World Food,Cooking & Baking Needs,American Pancake Co.,297,330
44,Beauty & Hygiene,Hair Care,Schwarzkopf,425,425
45,Cleaning & Household,Pooja Needs,Shubhkart,85,90
46,"Kitchen, Garden & Pets",Crockery & Cutlery,Laopala Diva,2695,2695
47,Cleaning & Household,All Purpose Cleaners,ZEISS,179.1,199
48,Gourmet & World Food,Cooking & Baking Needs,Cafe Junyali,295,295
49,Beauty & Hygiene,Hair Care,Loreal Paris,677,770
50,Gourmet & World Food,Chocolates & Biscuits,Choc Coin,150,150
51,Beverages,Coffee,Levista,68,85
52,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Weikfield,49,55
53,Beauty & Hygiene,Men's Grooming,Nivea,139.3,199
54,Cleaning & Household,"Disposables, Garbage Bag",Selpak,240,240
55,Gourmet & World Food,Drinks & Beverages,Urban Platter,285,300
56,Gourmet & World Food,Drinks & Beverages,Rooted Peepul,560.5,590
57,Cleaning & Household,"Mops, Brushes & Scrubs",Gala,220,220
58,"Foodgrains, Oil & Masala",Organic Staples,24 Mantra,393.6,410
59,Beauty & Hygiene,Hair Care,Azafran,225,300
60,Gourmet & World Food,Cooking & Baking Needs,Graminway,99,99
61,Snacks & Branded Foods,Snacks & Namkeen,Sanjay ,55,55
62,Beauty & Hygiene,Health & Medicine,Bixa Botanical,245,245
63,Cleaning & Household,Stationery,Luxor,196,200
64,Cleaning & Household,Pooja Needs,Balaji foods,18,18
65,Beverages,Tea,Emperia,159,159
66,"Kitchen, Garden & Pets",Crockery & Cutlery,Pasabahce,479,600
67,"Foodgrains, Oil & Masala",Organic Staples,Eco Fresh,330,330
68,Cleaning & Household,All Purpose Cleaners,Harpic,44,44
69,Snacks & Branded Foods,Snacks & Namkeen,Too Yumm!,45.9,60
70,Gourmet & World Food,Dairy & Cheese,Soyvita,170,170
71,Beauty & Hygiene,Fragrances & Deos,Brut,299,299
72,Beauty & Hygiene,Skin Care,Aroma Magic ,612.5,875
73,"Kitchen, Garden & Pets",Pet Food & Accessories,Drools,381.65,449
74,"Kitchen, Garden & Pets",Cookware & Non Stick,Vinod,1699,2435
75,Snacks & Branded Foods,Frozen Veggies & Snacks,GOELD,75,150
76,Gourmet & World Food,Dairy & Cheese,Epigamia ,320,320
77,Gourmet & World Food,Cooking & Baking Needs,Pantai,60,60
78,Beauty & Hygiene,Bath & Hand Wash,Raho Safe,75,149
79,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Pringles,221,269
80,Snacks & Branded Foods,Snacks & Namkeen,Doritos,76.5,85
81,"Foodgrains, Oil & Masala",Dals & Pulses,bb Royal,92,100
82,Snacks & Branded Foods,Snacks & Namkeen,Haldirams ,10,10
83,"Foodgrains, Oil & Masala",Dals & Pulses,bb Royal,90,99
84,Beauty & Hygiene,Health & Medicine,Zandu,335,335
85,Gourmet & World Food,"Pasta, Soup & Noodles",Colavita,168,210
86,"Bakery, Cakes & Dairy",Ice Creams & Desserts,Amul,200,200
87,Gourmet & World Food,Cooking & Baking Needs,Bobs Red Mill,1710,1800
88,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Tasties,249.3,338
89,Gourmet & World Food,"Sauces, Spreads & Dips",Prasukh,126,140
90,"Kitchen, Garden & Pets",Steel Utensils,BB Home,109,169
91,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,149,149
92,"Foodgrains, Oil & Masala",Rice & Rice Products,Earthon,127,127
93,Beauty & Hygiene,Hair Care,Patanjali,60,60
94,Beauty & Hygiene,Skin Care,Fuschia,202.5,225
95,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Nilons,50,50
96,Beauty & Hygiene,Skin Care,Seni,400,400
97,Snacks & Branded Foods,Snacks & Namkeen,Ela,65,65
98,Beauty & Hygiene,Men's Grooming,Fogg ,204,255
99,Beverages,Tea,18 Herbs,100,100
100,Gourmet & World Food,Chocolates & Biscuits,Heidi,300,300
101,Beauty & Hygiene,Bath & Hand Wash,Oriental Botanics,275,275
102,Beauty & Hygiene,Skin Care,Himalaya,120,150
103,"Kitchen, Garden & Pets",Steel Utensils,BB Home,249,379
104,Cleaning & Household,Stationery,DP,111,179
105,Gourmet & World Food,"Pasta, Soup & Noodles",HappyChef,175.01,310
106,Beauty & Hygiene,Skin Care,Mamaearth,998,998
107,Beauty & Hygiene,Feminine Hygiene,Niine,25.2,28
108,"Kitchen, Garden & Pets",Storage & Accessories,Yellow Spark,199,230
109,Snacks & Branded Foods,Snacks & Namkeen,Sanjay ,65,65
110,Gourmet & World Food,Cooking & Baking Needs,Nutty Yogi,99,99
111,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,49.5,55
112,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Trust,90,90
113,Snacks & Branded Foods,Ready To Cook & Eat,Cadbury,415.23,446
114,Beauty & Hygiene,Fragrances & Deos,Dorall Collection,419.3,599
115,Cleaning & Household,"Mops, Brushes & Scrubs",Gala,175,175
116,Snacks & Branded Foods,Breakfast Cereals,Kelloggs,140,140
117,"Foodgrains, Oil & Masala",Organic Staples,Pro Nature,109.5,146
118,"Kitchen, Garden & Pets",Gardening,Klassic,449,449
119,Snacks & Branded Foods,Chocolates & Candies,Brookside,153.62,165
120,"Kitchen, Garden & Pets",Kitchen Accessories,HAZEL,3999,3999
121,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,280,295
122,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Mr. Gold,171,205
123,"Kitchen, Garden & Pets",Crockery & Cutlery,Claycraft,139,175
124,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Rro,255,255
125,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,68,76
126,"Kitchen, Garden & Pets",Steel Utensils,Kitchen Essentials,2999,5295
127,"Kitchen, Garden & Pets",Kitchen Accessories,Anjali,299,395
128,Cleaning & Household,Stationery,Faber castell,98,100
129,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Bhuira,249,249
130,Beauty & Hygiene,Hair Care,DELON,699,699
131,Beauty & Hygiene,Oral Care,Oral-B,110,110
132,Beauty & Hygiene,Feminine Hygiene,Namyaa,750,750
133,"Foodgrains, Oil & Masala",Dals & Pulses,Safe Harvest,127.71,129
134,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Pavizham,285,285
135,Cleaning & Household,Bins & Bathroom Ware,Nakoda,289,366
136,Beauty & Hygiene,Skin Care,Bionova,295,295
137,Beauty & Hygiene,Hair Care,Herbal Essence,432,600
138,Beauty & Hygiene,Bath & Hand Wash,Natures Essence,55,55
139,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Future Organics,250,250
140,Gourmet & World Food,"Pasta, Soup & Noodles",Koka,112.5,125
141,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Top Ramen ,56.88,80
142,Gourmet & World Food,Drinks & Beverages,Mlesna,350,350
143,Beauty & Hygiene,Skin Care,INATUR ,260,400
144,Beauty & Hygiene,Fragrances & Deos,Nike,278.4,348
145,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Tasties,358.3,498
146,Beauty & Hygiene,Health & Medicine,ORGANIC INDIA,225,225
147,Beverages,Fruit Juices & Drinks,Coco mama,152,160
148,"Kitchen, Garden & Pets",Kitchen Accessories,Prestige,595,595
149,Gourmet & World Food,"Sauces, Spreads & Dips",Happilo,269.4,449
150,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Alpino,749,749
151,"Kitchen, Garden & Pets",Storage & Accessories,BB Home,747,1485
152,Gourmet & World Food,Cooking & Baking Needs,Cafe Junyali,295,295
153,Gourmet & World Food,Drinks & Beverages,Saffola FITTIFY Gourmet,260,260
154,Cleaning & Household,Bins & Bathroom Ware,Nakoda,109,130
155,Baby Care,Feeding & Nursing,Vauva,245,245
156,Beauty & Hygiene,Bath & Hand Wash,ZM LABS,578,680
157,"Foodgrains, Oil & Masala",Rice & Rice Products,Bemisal,176,176
158,Beauty & Hygiene,Health & Medicine,Charak,90,90
159,Beauty & Hygiene,Men's Grooming,Schwarzkopf,425,425
160,Beauty & Hygiene,Fragrances & Deos,David Beckham,2320,2900
161,Snacks & Branded Foods,Ready To Cook & Eat,Grami Superfoods,118,118
162,Gourmet & World Food,Chocolates & Biscuits,BIKA,71.25,75
163,Cleaning & Household,Stationery,B Vishal,58.9,90
164,Gourmet & World Food,Chocolates & Biscuits,Skittles,95,100
165,Beauty & Hygiene,Health & Medicine,Charak,151,151
166,Beauty & Hygiene,Fragrances & Deos,Fogg ,276,460
167,Snacks & Branded Foods,Frozen Veggies & Snacks,sumeru,300,300
168,Beauty & Hygiene,Men's Grooming,Cinthol,135,150
169,Gourmet & World Food,Cooking & Baking Needs,Puramate,63,70
170,Beauty & Hygiene,Fragrances & Deos,Nike,195.3,279
171,Baby Care,Feeding & Nursing,Chicco,599,599
172,"Foodgrains, Oil & Masala",Organic Staples,Phalada Pure & Sure,160,160
173,Cleaning & Household,Stationery,Pidilite,98,99
174,Beauty & Hygiene,Health & Medicine,SIDDHAYU,395,395
175,Beauty & Hygiene,Bath & Hand Wash,BB Home,119,150
176,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",bb Popular,145,145
177,Beauty & Hygiene,Men's Grooming,Bro Code,599,599
178,Gourmet & World Food,Chocolates & Biscuits,Smoor,1500,1500
179,Beauty & Hygiene,Hair Care,Vega,110,110
180,Snacks & Branded Foods,Ready To Cook & Eat,Tasties,39,65
181,Beauty & Hygiene,Skin Care,Aroma Magic ,300,400
182,Gourmet & World Food,Drinks & Beverages,TGL Co.,169.32,249
