Index,category,sub_category,brand,sale_price,market_price
1,"Kitchen, Garden & Pets",Storage & Accessories,BB Home,209,499
2,"Kitchen, Garden & Pets",Storage & Accessories,Fendo,269,549
3,Beauty & Hygiene,Men's Grooming,Dettol,67.5,75
4,Beauty & Hygiene,Skin Care,Lotus Herbals,568.75,875
5,Snacks & Branded Foods,Ready To Cook & Eat,HappyChef,99,249
6,Beauty & Hygiene,Men's Grooming,Gillette,1827.5,2150
7,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,85.5,90
8,Snacks & Branded Foods,Ready To Cook & Eat,MTR,131,215
9,Cleaning & Household,"Mops, Brushes & Scrubs",Scotch brite,267.9,300
10,Cleaning & Household,Pooja Needs,Shalimar,54,60
11,Beauty & Hygiene,Men's Grooming,QRAA,210,210
12,Gourmet & World Food,Chocolates & Biscuits,Fini,225,225
13,"Foodgrains, Oil & Masala",Organic Staples,24 Mantra,135,135
14,Beauty & Hygiene,Skin Care,Mamaearth,499,499
15,"Eggs, Meat & Fish","Sausages, Bacon & Salami",La Carne,300,300
16,Beauty & Hygiene,Skin Care,The Face Shop,738,820
17,Gourmet & World Food,Drinks & Beverages,Teamonk,91,130
18,Snacks & Branded Foods,Snacks & Namkeen,Townbus,10,10
19,"Kitchen, Garden & Pets",Steel Utensils,Classic Essentials,299,875
20,Beauty & Hygiene,Skin Care,Khadi Natural,275,275
21,Beauty & Hygiene,Skin Care,Loreal Paris,515,515
22,Gourmet & World Food,Cooking & Baking Needs,Abbies,399,399
23,Gourmet & World Food,Oils & Vinegar,Disano,638.01,1350
24,Cleaning & Household,All Purpose Cleaners,Lizol,324,367
25,Beauty & Hygiene,Bath & Hand Wash,Dr Rhazes,1178,1178
26,Beauty & Hygiene,Skin Care,Nivea,185,185
27,Gourmet & World Food,"Pasta, Soup & Noodles",BORGES,125,250
28,Beauty & Hygiene,Bath & Hand Wash,Greenberry Organics,126,180
29,Beauty & Hygiene,Skin Care,Olay,152.1,169
30,Beauty & Hygiene,Hair Care,Richfeel,269,269
31,Gourmet & World Food,Chocolates & Biscuits,Orileys,196,245
32,Beauty & Hygiene,Skin Care,Mom & World,427,449
33,Beauty & Hygiene,Fragrances & Deos,Park avenue,179.1,199
34,"Kitchen, Garden & Pets",Pet Food & Accessories,Pedigree,130,130
35,Beauty & Hygiene,Hair Care,Oriental Botanics,749,999
36,Baby Care,Diapers & Wipes,bigbasket,99,169
37,"Foodgrains, Oil & Masala",Rice & Rice Products,bb Royal,279,375
38,Cleaning & Household,Bins & Bathroom Ware,Nayasa,389,389
39,Gourmet & World Food,"Pasta, Soup & Noodles",Nongshim,99,99
40,Snacks & Branded Foods,Ready To Cook & Eat,Graminway,259,259
41,"Foodgrains, Oil & Masala",Masalas & Spices,PRISTINE,45,50
42,"Foodgrains, Oil & Masala",Dals & Pulses,Double Horse,48,48
43,"Kitchen, Garden & Pets",Pet Food & Accessories,Pedigree,2446.4,2780
44,Beauty & Hygiene,Oral Care,Dentoshine  ,79,79
45,Beauty & Hygiene,Skin Care,The Face Shop,1122,1320
46,Snacks & Branded Foods,Biscuits & Cookies,Britannia,31.5,35
47,Beauty & Hygiene,Skin Care,Vlcc,243.75,375
48,"Eggs, Meat & Fish","Sausages, Bacon & Salami",La Carne,318.75,375
49,Beauty & Hygiene,Hair Care,Khadi Natural,152,160
50,Baby Care,Diapers & Wipes,Mamypoko,1758.24,1998
51,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Cornitos,31.5,35
52,Beauty & Hygiene,Skin Care,Nectar Valley,465,465
53,"Kitchen, Garden & Pets",Storage & Accessories,Princeware,209,323
54,Baby Care,Baby Food & Formula,Slurrp Farm,424.15,499
55,Cleaning & Household,Bins & Bathroom Ware,Princeware,279,401
56,Gourmet & World Food,Drinks & Beverages,kings Coffee,125.1,139
57,Gourmet & World Food,"Sauces, Spreads & Dips",Langnese,1150,1150
58,"Kitchen, Garden & Pets",Cookware & Non Stick,Prestige,940,1040
59,Beauty & Hygiene,Men's Grooming,Beardo,459.08,499
60,"Kitchen, Garden & Pets",Cookware & Non Stick,Le Kaviraj,129,285
61,Cleaning & Household,Detergents & Dishwash,Surf Excel,165,165
62,Beauty & Hygiene,Skin Care,Natures Essence,125,125
63,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Chings,43.5,50
64,Gourmet & World Food,Drinks & Beverages,Health Sutra,70,70
65,Gourmet & World Food,Dairy & Cheese,Fresho Signature,471.6,524
66,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Wipro,221,260
67,Gourmet & World Food,"Sauces, Spreads & Dips",Yoga bar,799,799
68,"Kitchen, Garden & Pets",Crockery & Cutlery,Iveo ,149,200
69,"Kitchen, Garden & Pets",Crockery & Cutlery,Laopala Diva,695,695
70,Gourmet & World Food,Drinks & Beverages,Swa Artisanal Syrups,300,300
71,Fruits & Vegetables,Cuts & Sprouts,Tadaa,80,80
72,Gourmet & World Food,Drinks & Beverages,Te-A-Me,265,265
73,"Kitchen, Garden & Pets",Crockery & Cutlery,Claycraft,606,606
74,Beauty & Hygiene,Men's Grooming,Supermax,52.8,60
75,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Keya,49,70
76,"Kitchen, Garden & Pets",Storage & Accessories,Nayasa,299,419
77,"Foodgrains, Oil & Masala",Masalas & Spices,Catch,90.18,110
78,Cleaning & Household,"Mops, Brushes & Scrubs",Scotch brite,50,55
79,Beauty & Hygiene,Hair Care,Banjara's,60,60
80,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Tata Salt,28,40
81,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Cookie Man,370,370
82,"Kitchen, Garden & Pets",Storage & Accessories,Aristo,1289,1611
83,Gourmet & World Food,Chocolates & Biscuits,marshmallow,150,150
84,"Foodgrains, Oil & Masala","Atta, Flours & Sooji",bb Royal,67,89
85,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Delight Nuts,379,379
86,Beauty & Hygiene,Men's Grooming,Lomani,250,250
87,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,165.75,195
88,Gourmet & World Food,Cereals & Breakfast,Snack Amor,189,189
89,Gourmet & World Food,Drinks & Beverages,Mlesna,350,350
90,Beauty & Hygiene,Hair Care,Himalaya Wellness,243.75,325
91,"Foodgrains, Oil & Masala",Organic Staples,24 Mantra,105,105
92,Baby Care,Mothers & Maternity,BTN Sports,600,600
93,Cleaning & Household,Stationery,Classmate,83,85
94,Gourmet & World Food,Cooking & Baking Needs,Ketofy,499,499
95,Beauty & Hygiene,Skin Care,Vaadi,139.5,155
96,Cleaning & Household,Detergents & Dishwash,Godrej Protekt,131.75,155
97,Beauty & Hygiene,Hair Care,bb Combo,222,249
98,"Foodgrains, Oil & Masala",Dals & Pulses,bb Royal,129,210
99,Snacks & Branded Foods,Frozen Veggies & Snacks,IGLOO,105,105
100,Gourmet & World Food,"Sauces, Spreads & Dips",Heinz,695,695
101,Beauty & Hygiene,Men's Grooming,Gillette,93.5,110
102,Beauty & Hygiene,Hair Care,Streax,359,359
103,Snacks & Branded Foods,Breakfast Cereals,bb Royal,189,360
104,Snacks & Branded Foods,Snacks & Namkeen,Sanjay ,55,55
105,Beauty & Hygiene,Bath & Hand Wash,Nivea,158,158
106,Fruits & Vegetables,Fresh Vegetables,Fresho,51.1,90
107,Beauty & Hygiene,Skin Care,Vlcc,216,240
108,Beauty & Hygiene,Bath & Hand Wash,Medimix,110,110
109,"Foodgrains, Oil & Masala",Masalas & Spices,MTR,90,90
110,Gourmet & World Food,Drinks & Beverages,JIMMY'S COCKTAILS,99,99
111,Beauty & Hygiene,Health & Medicine,Azani Active Nutrition,837,837
112,"Bakery, Cakes & Dairy",Cakes & Pastries,Milk Ma,20,20
113,Beauty & Hygiene,Health & Medicine,ORGANIC INDIA,175,175
114,Snacks & Branded Foods,Ready To Cook & Eat,Haldirams ,195,195
115,"Kitchen, Garden & Pets",Storage & Accessories,DP,440,440
116,Gourmet & World Food,Oils & Vinegar,DrNatcure,449.1,499
117,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Isvaryam,165,165
118,"Foodgrains, Oil & Masala",Organic Staples,bb Royal,90,99
119,"Kitchen, Garden & Pets",Steel Utensils,BB Home,269,449
120,"Bakery, Cakes & Dairy",Dairy,Sofit ,362.36,435
121,Beauty & Hygiene,Men's Grooming,Godrej,65,65
122,Beauty & Hygiene,Health & Medicine,Alvizia,325,500
123,Snacks & Branded Foods,Snacks & Namkeen,Crax,20,20
124,Beauty & Hygiene,Skin Care,Himalaya,165,220
125,Gourmet & World Food,Chocolates & Biscuits,Lindberg,226.1,378
126,Beauty & Hygiene,Health & Medicine,NUTRIWISH,180,180
127,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Saffola,1064.8,1210
128,"Foodgrains, Oil & Masala",Rice & Rice Products,bb Royal,434,650
129,Beauty & Hygiene,Skin Care,Ponds,180,240
130,Snacks & Branded Foods,Ready To Cook & Eat,TATA Q,49.5,99
131,Beauty & Hygiene,Hair Care,Sunsilk,73,73
132,"Kitchen, Garden & Pets",Storage & Accessories,Asian,319,495
133,Beauty & Hygiene,Skin Care,Ponds,112.5,150
134,"Kitchen, Garden & Pets",Storage & Accessories,Cello,479,613
135,Beauty & Hygiene,Bath & Hand Wash,Sri Sri Tattva,36,36
136,Beauty & Hygiene,Health & Medicine,Baidyanath,110,110
137,Gourmet & World Food,Cooking & Baking Needs,Puramate,31.5,35
138,Beauty & Hygiene,Fragrances & Deos,Dove,190,200
139,Beauty & Hygiene,Men's Grooming,Man Arden,349,349
140,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,10,10
141,"Foodgrains, Oil & Masala",Rice & Rice Products,bb Popular,59,60
142,Cleaning & Household,"Mops, Brushes & Scrubs",Magix,300,300
143,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Samvruddhi,342,342
144,"Bakery, Cakes & Dairy",Dairy,Go ,382.98,402
145,"Kitchen, Garden & Pets",Pet Food & Accessories,Whiskas,391,420
146,Beauty & Hygiene,Men's Grooming,Cinthol,229.5,270
147,Beauty & Hygiene,Fragrances & Deos,Nike,195.3,279
148,Beverages,Water,Aquafina,240,240
149,"Bakery, Cakes & Dairy",Dairy,Milky Mist,108,108
150,Beauty & Hygiene,Oral Care,Colgate,83,83
151,Cleaning & Household,Fresheners & Repellents,Vitro Naturals ,280,280
152,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Lovely Bake Studio,40.5,45
153,Snacks & Branded Foods,Snacks & Namkeen,PIPO,30,30
154,Beauty & Hygiene,Skin Care,Oriental Botanics,423,445
155,Beauty & Hygiene,Hair Care,Himalaya,220.5,245
156,Cleaning & Household,Bins & Bathroom Ware,Ratan,375,375
157,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Happilo,93,155
158,Beverages,Fruit Juices & Drinks,Kapiva Ayurveda,600,600
159,Cleaning & Household,Pooja Needs,Trm,199,425
160,"Foodgrains, Oil & Masala",Rice & Rice Products,bb Royal,50,65
161,Gourmet & World Food,"Sauces, Spreads & Dips",Jus Amazin,349,400
162,Beauty & Hygiene,Skin Care,INATUR ,525,750
163,Snacks & Branded Foods,Ready To Cook & Eat,HappyChef,39,45
164,"Kitchen, Garden & Pets",Pet Food & Accessories,Cesar,85,100
165,Beauty & Hygiene,Oral Care,Aquawhite,500,500
166,Cleaning & Household,Stationery,Papergrid,62,65
167,Fruits & Vegetables,Fresh Vegetables,Fresho,32,40
168,Gourmet & World Food,Drinks & Beverages,Fresh Honest,95,95
169,"Bakery, Cakes & Dairy",Non Dairy,Soyfit,126,140
170,Beauty & Hygiene,Feminine Hygiene,Sirona,401.2,590
171,Beauty & Hygiene,Skin Care,moha,148,185
172,Cleaning & Household,All Purpose Cleaners,Kolan,495,495
